Graph profile, Command, UriPath
v1.0, Get-MgDeviceManagementAuditEventAuditActivityType, /deviceManagement/auditEvents/getAuditActivityTypes(category='{category}')
v1.0, Get-MgDeviceManagementAuditEventAuditCategory, /deviceManagement/auditEvents/getAuditCategories
v1.0, Get-MgDeviceManagementEffectivePermission, /deviceManagement/getEffectivePermissions(scope='{scope}')
v1.0, Invoke-MgDownloadDeviceManagementApplePushNotificationCertificateApplePushNotificationCertificateSigningRequest, /deviceManagement/applePushNotificationCertificate/downloadApplePushNotificationCertificateSigningRequest
v1.0-beta, Compare-MgDeviceManagementIntent, /deviceManagement/intents/{deviceManagementIntent-id}/compare(templateId='{templateId}')
v1.0-beta, Compare-MgDeviceManagementTemplate, /deviceManagement/templates/{deviceManagementTemplate-id}/compare(templateId='{templateId}')
v1.0-beta, Compare-MgDeviceManagementTemplateMigratableTo, /deviceManagement/templates/{deviceManagementTemplate-id}/migratableTo/{deviceManagementTemplate-id1}/compare(templateId='{templateId}')
v1.0-beta, Export-MgDeviceManagementDepOnboardingSettingEnrollmentProfileMobileConfig, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/enrollmentProfiles/{enrollmentProfile-id}/exportMobileConfig
v1.0-beta, Get-MgDeviceManagementAssignedRoleDetail, /deviceManagement/getAssignedRoleDetails
v1.0-beta, Get-MgDeviceManagementAuditEventAuditActivityType, /deviceManagement/auditEvents/getAuditActivityTypes(category='{category}')
v1.0-beta, Get-MgDeviceManagementAuditEventAuditCategory, /deviceManagement/auditEvents/getAuditCategories
v1.0-beta, Get-MgDeviceManagementComanagedDeviceFileVaultKey, /deviceManagement/comanagedDevices/{managedDevice-id}/getFileVaultKey
v1.0-beta, Get-MgDeviceManagementComanagedDeviceNonCompliantSetting, /deviceManagement/comanagedDevices/{managedDevice-id}/getNonCompliantSettings
v1.0-beta, Get-MgDeviceManagementComanagedDeviceSummary, /deviceManagement/getComanagedDevicesSummary
v1.0-beta, Get-MgDeviceManagementComanagementEligibleDeviceSummary, /deviceManagement/getComanagementEligibleDevicesSummary
v1.0-beta, Get-MgDeviceManagementConfigManagerCollectionPolicySummary, /deviceManagement/configManagerCollections/getPolicySummary(policyId='{policyId}')
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingEncryptionPublicKey, /deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/getEncryptionPublicKey
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingExpiringVppTokenCount, /deviceManagement/depOnboardingSettings/getExpiringVppTokenCount(expiringBeforeDateTime='{expiringBeforeDateTime}')
v1.0-beta, Get-MgDeviceManagementDeviceConfigurationIoAvailableUpdateVersion, /deviceManagement/deviceConfigurations/getIosAvailableUpdateVersions
v1.0-beta, Get-MgDeviceManagementDeviceHealthScriptRemediationHistory, /deviceManagement/deviceHealthScripts/{deviceHealthScript-id}/getRemediationHistory
v1.0-beta, Get-MgDeviceManagementDeviceHealthScriptRemediationSummary, /deviceManagement/deviceHealthScripts/getRemediationSummary
v1.0-beta, Get-MgDeviceManagementEffectivePermission, /deviceManagement/getEffectivePermissions(scope='{scope}')
v1.0-beta, Get-MgDeviceManagementManagedDeviceFileVaultKey, /deviceManagement/managedDevices/{managedDevice-id}/getFileVaultKey
v1.0-beta, Get-MgDeviceManagementManagedDeviceNonCompliantSetting, /deviceManagement/managedDevices/{managedDevice-id}/getNonCompliantSettings
v1.0-beta, Get-MgDeviceManagementSuggestedEnrollmentLimit, /deviceManagement/getSuggestedEnrollmentLimit(enrollmentType='{enrollmentType}')
v1.0-beta, Get-MgDeviceManagementVirtualEndpointDeviceImageSourceImage, /deviceManagement/virtualEndpoint/deviceImages/getSourceImages
v1.0-beta, Get-MgDeviceManagementVirtualEndpointEffectivePermission, /deviceManagement/virtualEndpoint/getEffectivePermissions
v1.0-beta, Invoke-MgCustomDeviceManagementRoleScopeTag, /deviceManagement/roleScopeTags/hasCustomRoleScopeTag
v1.0-beta, Invoke-MgDownloadDeviceManagementApplePushNotificationCertificateApplePushNotificationCertificateSigningRequest, /deviceManagement/applePushNotificationCertificate/downloadApplePushNotificationCertificateSigningRequest
v1.0-beta, Invoke-MgIsDeviceManagementDeviceHealthScriptGlobalScriptAvailable, /deviceManagement/deviceHealthScripts/areGlobalScriptsAvailable
v1.0-beta, Invoke-MgSummarizeDeviceManagementUserExperienceAnalyticDevicePerformanceDevice, /deviceManagement/userExperienceAnalyticsDevicePerformance/summarizeDevicePerformanceDevices(summarizeBy='{summarizeBy}')
v1.0-beta, Invoke-MgSummarizeDeviceManagementUserExperienceAnalyticResourcePerformanceDeviceResourcePerformance, /deviceManagement/userExperienceAnalyticsResourcePerformance/summarizeDeviceResourcePerformance(summarizeBy='{summarizeBy}')
v1.0, Get-MgDeviceManagementAuditEventAuditActivityType, /deviceManagement/auditEvents/getAuditActivityTypes(category='{category}')
v1.0, Get-MgDeviceManagementEffectivePermission, /deviceManagement/getEffectivePermissions(scope='{scope}')
v1.0-beta, Compare-MgDeviceManagementIntent, /deviceManagement/intents/{deviceManagementIntent-id}/compare(templateId='{templateId}')
v1.0-beta, Compare-MgDeviceManagementTemplate, /deviceManagement/templates/{deviceManagementTemplate-id}/compare(templateId='{templateId}')
v1.0-beta, Compare-MgDeviceManagementTemplateMigratableTo, /deviceManagement/templates/{deviceManagementTemplate-id}/migratableTo/{deviceManagementTemplate-id1}/compare(templateId='{templateId}')
v1.0-beta, Get-MgDeviceManagementAuditEventAuditActivityType, /deviceManagement/auditEvents/getAuditActivityTypes(category='{category}')
v1.0-beta, Get-MgDeviceManagementConfigManagerCollectionPolicySummary, /deviceManagement/configManagerCollections/getPolicySummary(policyId='{policyId}')
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingExpiringVppTokenCount, /deviceManagement/depOnboardingSettings/getExpiringVppTokenCount(expiringBeforeDateTime='{expiringBeforeDateTime}')
v1.0-beta, Get-MgDeviceManagementEffectivePermission, /deviceManagement/getEffectivePermissions(scope='{scope}')
v1.0-beta, Get-MgDeviceManagementSuggestedEnrollmentLimit, /deviceManagement/getSuggestedEnrollmentLimit(enrollmentType='{enrollmentType}')
v1.0-beta, Invoke-MgSummarizeDeviceManagementUserExperienceAnalyticDevicePerformanceDevice, /deviceManagement/userExperienceAnalyticsDevicePerformance/summarizeDevicePerformanceDevices(summarizeBy='{summarizeBy}')
v1.0-beta, Invoke-MgSummarizeDeviceManagementUserExperienceAnalyticResourcePerformanceDeviceResourcePerformance, /deviceManagement/userExperienceAnalyticsResourcePerformance/summarizeDeviceResourcePerformance(summarizeBy='{summarizeBy}')
v1.0-beta, Compare-MgDeviceManagementIntent, /deviceManagement/intents/{deviceManagementIntent-id}/compare(templateId='{templateId}')
v1.0-beta, Compare-MgDeviceManagementTemplate, /deviceManagement/templates/{deviceManagementTemplate-id}/compare(templateId='{templateId}')
v1.0-beta, Compare-MgDeviceManagementTemplateMigratableTo, /deviceManagement/templates/{deviceManagementTemplate-id}/migratableTo/{deviceManagementTemplate-id1}/compare(templateId='{templateId}')
v1.0-beta, Get-MgDeviceManagementAuditEventAuditActivityType, /deviceManagement/auditEvents/getAuditActivityTypes(category='{category}')
v1.0-beta, Get-MgDeviceManagementConfigManagerCollectionPolicySummary, /deviceManagement/configManagerCollections/getPolicySummary(policyId='{policyId}')
v1.0-beta, Get-MgDeviceManagementDepOnboardingSettingExpiringVppTokenCount, /deviceManagement/depOnboardingSettings/getExpiringVppTokenCount(expiringBeforeDateTime='{expiringBeforeDateTime}')
v1.0-beta, Get-MgDeviceManagementEffectivePermission, /deviceManagement/getEffectivePermissions(scope='{scope}')
v1.0-beta, Get-MgDeviceManagementSuggestedEnrollmentLimit, /deviceManagement/getSuggestedEnrollmentLimit(enrollmentType='{enrollmentType}')
v1.0-beta, Invoke-MgSummarizeDeviceManagementUserExperienceAnalyticDevicePerformanceDevice, /deviceManagement/userExperienceAnalyticsDevicePerformance/summarizeDevicePerformanceDevices(summarizeBy='{summarizeBy}')
