Graph profile, Command, UriPath
v1.0, Add-MgIdentityGovernanceAccessReviewDefinitionInstanceDecision, /identityGovernance/accessReviews/definitions/{accessReviewScheduleDefinition-id}/instances/{accessReviewInstance-id}/applyDecisions
v1.0, Get-MgAgreement, /agreements
v1.0, Get-MgAgreementFileLocalization, /agreements/{agreement-id}/file/localizations
v1.0, Get-MgAgreementFileLocalizationVersion, /agreements/{agreement-id}/file/localizations/{agreementFileLocalization-id}/versions
v1.0, Get-MgEntitlementManagementAccessPackageApplicablePolicyRequirement, /identityGovernance/entitlementManagement/accessPackages/{accessPackage-id}/getApplicablePolicyRequirements
v1.0, Get-MgEntitlementManagementAccessPackageCatalog, /identityGovernance/entitlementManagement/accessPackages/{accessPackage-id}/catalog
v1.0, Get-MgEntitlementManagementAssignmentAdditional, /identityGovernance/entitlementManagement/assignments/additionalAccess
v1.0, Get-MgEntitlementManagementAssignmentPolicyAccessPackage, /identityGovernance/entitlementManagement/assignmentPolicies/{accessPackageAssignmentPolicy-id}/accessPackage
v1.0, Get-MgEntitlementManagementAssignmentPolicyCatalog, /identityGovernance/entitlementManagement/assignmentPolicies/{accessPackageAssignmentPolicy-id}/catalog
v1.0, Get-MgEntitlementManagementCatalogAccessPackageApplicablePolicyRequirement, /identityGovernance/entitlementManagement/catalogs/{accessPackageCatalog-id}/accessPackages/{accessPackage-id}/getApplicablePolicyRequirements
v1.0, Get-MgEntitlementManagementCatalogAccessPackageAssignmentPolicy, /identityGovernance/entitlementManagement/catalogs/{accessPackageCatalog-id}/accessPackages/{accessPackage-id}/assignmentPolicies
v1.0, Get-MgEntitlementManagementCatalogAccessPackageAssignmentPolicyAccessPackage, /identityGovernance/entitlementManagement/catalogs/{accessPackageCatalog-id}/accessPackages/{accessPackage-id}/assignmentPolicies/{accessPackageAssignmentPolicy-id}/accessPackage
v1.0, Get-MgEntitlementManagementCatalogAccessPackageAssignmentPolicyCatalog, /identityGovernance/entitlementManagement/catalogs/{accessPackageCatalog-id}/accessPackages/{accessPackage-id}/assignmentPolicies/{accessPackageAssignmentPolicy-id}/catalog
v1.0, Get-MgEntitlementManagementConnectedOrganizationExternalSponsorAvailableExtensionProperty, /identityGovernance/entitlementManagement/connectedOrganizations/{connectedOrganization-id}/externalSponsors/getAvailableExtensionProperties
