Graph profile, Command, UriPath
v1.0, Get-MgGroupCalendar, /groups/{group-id}/calendar
v1.0, Get-MgGroupCalendarMultiValueExtendedProperty, /groups/{group-id}/calendar/multiValueExtendedProperties
v1.0, Get-MgGroupCalendarSingleValueExtendedProperty, /groups/{group-id}/calendar/singleValueExtendedProperties
v1.0, Get-MgGroupEventCalendar, /groups/{group-id}/events/{event-id}/calendar
v1.0, Get-MgGroupEventMultiValueExtendedProperty, /groups/{group-id}/events/{event-id}/multiValueExtendedProperties
v1.0, Get-MgGroupEventSingleValueExtendedProperty, /groups/{group-id}/events/{event-id}/singleValueExtendedProperties
v1.0, Get-MgUserCalendarMultiValueExtendedProperty, /users/{user-id}/calendar/multiValueExtendedProperties
v1.0, Get-MgUserCalendarSingleValueExtendedProperty, /users/{user-id}/calendar/singleValueExtendedProperties
v1.0, Get-MgUserEventCalendar, /users/{user-id}/events/{event-id}/calendar
v1.0, Get-MgUserEventMultiValueExtendedProperty, /users/{user-id}/events/{event-id}/multiValueExtendedProperties
v1.0, Get-MgUserEventSingleValueExtendedProperty, /users/{user-id}/events/{event-id}/singleValueExtendedProperties
v1.0, New-MgGroupCalendarMultiValueExtendedProperty, /groups/{group-id}/calendar/multiValueExtendedProperties
v1.0, New-MgGroupCalendarSingleValueExtendedProperty, /groups/{group-id}/calendar/singleValueExtendedProperties
v1.0, New-MgGroupEventMultiValueExtendedProperty, /groups/{group-id}/events/{event-id}/multiValueExtendedProperties
v1.0, New-MgGroupEventSingleValueExtendedProperty, /groups/{group-id}/events/{event-id}/singleValueExtendedProperties
v1.0, New-MgUserCalendarMultiValueExtendedProperty, /users/{user-id}/calendar/multiValueExtendedProperties
v1.0, New-MgUserCalendarSingleValueExtendedProperty, /users/{user-id}/calendar/singleValueExtendedProperties
v1.0, New-MgUserEventMultiValueExtendedProperty, /users/{user-id}/events/{event-id}/multiValueExtendedProperties
v1.0, New-MgUserEventSingleValueExtendedProperty, /users/{user-id}/events/{event-id}/singleValueExtendedProperties
v1.0, Remove-MgGroupCalendarMultiValueExtendedProperty, /groups/{group-id}/calendar/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
