Graph profile, Command, UriPath
v1.0, Get-MgUserInferenceClassification, /users/{user-id}/inferenceClassification
v1.0, Get-MgUserMailFolderMessageMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/multiValueExtendedProperties
v1.0, Get-MgUserMailFolderMessageSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/singleValueExtendedProperties
v1.0, Get-MgUserMailFolderMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/multiValueExtendedProperties
v1.0, Get-MgUserMailFolderSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/singleValueExtendedProperties
v1.0, Get-MgUserMessageMultiValueExtendedProperty, /users/{user-id}/messages/{message-id}/multiValueExtendedProperties
v1.0, Get-MgUserMessageSingleValueExtendedProperty, /users/{user-id}/messages/{message-id}/singleValueExtendedProperties
v1.0, New-MgUserMailFolderMessageMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/multiValueExtendedProperties
v1.0, New-MgUserMailFolderMessageSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/singleValueExtendedProperties
v1.0, New-MgUserMailFolderMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/multiValueExtendedProperties
v1.0, New-MgUserMailFolderSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/singleValueExtendedProperties
v1.0, New-MgUserMessageMultiValueExtendedProperty, /users/{user-id}/messages/{message-id}/multiValueExtendedProperties
v1.0, New-MgUserMessageSingleValueExtendedProperty, /users/{user-id}/messages/{message-id}/singleValueExtendedProperties
v1.0, Remove-MgUserInferenceClassificationOverride, /users/{user-id}/inferenceClassification/overrides/{inferenceClassificationOverride-id}
v1.0, Remove-MgUserMailFolder, /users/{user-id}/mailFolders/{mailFolder-id}
v1.0, Remove-MgUserMailFolderChildFolder, /users/{user-id}/mailFolders/{mailFolder-id}/childFolders/{mailFolder-id1}
v1.0, Remove-MgUserMailFolderMessage, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}
v1.0, Remove-MgUserMailFolderMessageAttachment, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/attachments/{attachment-id}
v1.0, Remove-MgUserMailFolderMessageExtension, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/extensions/{extension-id}
v1.0, Remove-MgUserMailFolderMessageMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserMailFolderMessageRule, /users/{user-id}/mailFolders/{mailFolder-id}/messageRules/{messageRule-id}
v1.0, Remove-MgUserMailFolderMessageSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserMailFolderMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserMailFolderSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserMessage, /users/{user-id}/messages/{message-id}
v1.0, Remove-MgUserMessageAttachment, /users/{user-id}/messages/{message-id}/attachments/{attachment-id}
v1.0, Remove-MgUserMessageExtension, /users/{user-id}/messages/{message-id}/extensions/{extension-id}
v1.0, Remove-MgUserMessageMultiValueExtendedProperty, /users/{user-id}/messages/{message-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Remove-MgUserMessageSingleValueExtendedProperty, /users/{user-id}/messages/{message-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0, Update-MgUserInferenceClassification, /users/{user-id}/inferenceClassification
v1.0, Update-MgUserInferenceClassificationOverride, /users/{user-id}/inferenceClassification/overrides/{inferenceClassificationOverride-id}
v1.0, Update-MgUserMailFolder, /users/{user-id}/mailFolders/{mailFolder-id}
v1.0, Update-MgUserMailFolderChildFolder, /users/{user-id}/mailFolders/{mailFolder-id}/childFolders/{mailFolder-id1}
v1.0, Update-MgUserMailFolderMessage, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}
v1.0, Update-MgUserMailFolderMessageExtension, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/extensions/{extension-id}
v1.0, Update-MgUserMailFolderMessageMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Update-MgUserMailFolderMessageRule, /users/{user-id}/mailFolders/{mailFolder-id}/messageRules/{messageRule-id}
v1.0, Update-MgUserMailFolderMessageSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0, Update-MgUserMailFolderMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Update-MgUserMailFolderSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0, Update-MgUserMessage, /users/{user-id}/messages/{message-id}
v1.0, Update-MgUserMessageExtension, /users/{user-id}/messages/{message-id}/extensions/{extension-id}
v1.0, Update-MgUserMessageMultiValueExtendedProperty, /users/{user-id}/messages/{message-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id}
v1.0, Update-MgUserMessageSingleValueExtendedProperty, /users/{user-id}/messages/{message-id}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id}
v1.0-beta, Get-MgUserInferenceClassification, /users/{user-id}/inferenceClassification
v1.0-beta, Get-MgUserMailFolderMessageMention, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/mentions/{mention-id}
v1.0-beta, Get-MgUserMailFolderMessageMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/multiValueExtendedProperties
v1.0-beta, Get-MgUserMailFolderMessageSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/singleValueExtendedProperties
v1.0-beta, Get-MgUserMailFolderMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/multiValueExtendedProperties
v1.0-beta, Get-MgUserMailFolderSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/singleValueExtendedProperties
v1.0-beta, Get-MgUserMailFolderUserConfiguration, /users/{user-id}/mailFolders/{mailFolder-id}/userConfigurations/{userConfiguration-id}
v1.0-beta, Get-MgUserMessageMention, /users/{user-id}/messages/{message-id}/mentions/{mention-id}
v1.0-beta, Get-MgUserMessageMultiValueExtendedProperty, /users/{user-id}/messages/{message-id}/multiValueExtendedProperties
v1.0-beta, Get-MgUserMessageSingleValueExtendedProperty, /users/{user-id}/messages/{message-id}/singleValueExtendedProperties
v1.0-beta, New-MgUserMailFolderMessageMention, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/mentions
v1.0-beta, New-MgUserMailFolderMessageMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/multiValueExtendedProperties
v1.0-beta, New-MgUserMailFolderMessageSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/singleValueExtendedProperties
v1.0-beta, New-MgUserMailFolderMultiValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/multiValueExtendedProperties
v1.0-beta, New-MgUserMailFolderSingleValueExtendedProperty, /users/{user-id}/mailFolders/{mailFolder-id}/singleValueExtendedProperties
v1.0-beta, New-MgUserMessageMention, /users/{user-id}/messages/{message-id}/mentions
v1.0-beta, New-MgUserMessageMultiValueExtendedProperty, /users/{user-id}/messages/{message-id}/multiValueExtendedProperties
v1.0-beta, New-MgUserMessageSingleValueExtendedProperty, /users/{user-id}/messages/{message-id}/singleValueExtendedProperties
v1.0-beta, Remove-MgUserInferenceClassificationOverride, /users/{user-id}/inferenceClassification/overrides/{inferenceClassificationOverride-id}
v1.0-beta, Remove-MgUserMailFolder, /users/{user-id}/mailFolders/{mailFolder-id}
v1.0-beta, Remove-MgUserMailFolderChildFolder, /users/{user-id}/mailFolders/{mailFolder-id}/childFolders/{mailFolder-id1}
v1.0-beta, Remove-MgUserMailFolderMessage, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}
v1.0-beta, Remove-MgUserMailFolderMessageAttachment, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/attachments/{attachment-id}
v1.0-beta, Remove-MgUserMailFolderMessageExtension, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/extensions/{extension-id}
v1.0-beta, Remove-MgUserMailFolderMessageMention, /users/{user-id}/mailFolders/{mailFolder-id}/messages/{message-id}/mentions/{mention-id}
