Graph profile, Command, UriPath
v1.0, Get-MgDeviceAppMgt, /deviceAppManagement
v1.0, Get-MgDeviceAppMgtAndroidManagedAppProtection, /deviceAppManagement/androidManagedAppProtections
v1.0, Get-MgDeviceAppMgtAndroidManagedAppProtectionApp, /deviceAppManagement/androidManagedAppProtections/{androidManagedAppProtection-id}/apps
v1.0, Get-MgDeviceAppMgtAndroidManagedAppProtectionDeploymentSummary, /deviceAppManagement/androidManagedAppProtections/{androidManagedAppProtection-id}/deploymentSummary
v1.0, Get-MgDeviceAppMgtDefaultManagedAppProtection, /deviceAppManagement/defaultManagedAppProtections
v1.0, Get-MgDeviceAppMgtDefaultManagedAppProtectionApp, /deviceAppManagement/defaultManagedAppProtections/{defaultManagedAppProtection-id}/apps
v1.0, Get-MgDeviceAppMgtDefaultManagedAppProtectionDeploymentSummary, /deviceAppManagement/defaultManagedAppProtections/{defaultManagedAppProtection-id}/deploymentSummary
v1.0, Get-MgDeviceAppMgtiOSManagedAppProtection, /deviceAppManagement/iosManagedAppProtections
v1.0, Get-MgDeviceAppMgtiOSManagedAppProtectionApp, /deviceAppManagement/iosManagedAppProtections/{iosManagedAppProtection-id}/apps
v1.0, Get-MgDeviceAppMgtiOSManagedAppProtectionDeploymentSummary, /deviceAppManagement/iosManagedAppProtections/{iosManagedAppProtection-id}/deploymentSummary
v1.0, Get-MgDeviceAppMgtManagedAppPolicy, /deviceAppManagement/managedAppPolicies
v1.0, Get-MgDeviceAppMgtManagedAppRegistration, /deviceAppManagement/managedAppRegistrations
v1.0, Get-MgDeviceAppMgtManagedAppRegistrationAppliedPolicy, /deviceAppManagement/managedAppRegistrations/{managedAppRegistration-id}/appliedPolicies
v1.0, Get-MgDeviceAppMgtManagedAppRegistrationIntendedPolicy, /deviceAppManagement/managedAppRegistrations/{managedAppRegistration-id}/intendedPolicies
v1.0, Get-MgDeviceAppMgtManagedAppRegistrationOperation, /deviceAppManagement/managedAppRegistrations/{managedAppRegistration-id}/operations
v1.0, Get-MgDeviceAppMgtManagedAppStatuses, /deviceAppManagement/managedAppStatuses
v1.0, Get-MgDeviceAppMgtManagedEBook, /deviceAppManagement/managedEBooks
v1.0, Get-MgDeviceAppMgtManagedEBookAssignment, /deviceAppManagement/managedEBooks/{managedEBook-id}/assignments
v1.0, Get-MgDeviceAppMgtManagedEBookDeviceState, /deviceAppManagement/managedEBooks/{managedEBook-id}/deviceStates
v1.0, Get-MgDeviceAppMgtManagedEBookInstallSummary, /deviceAppManagement/managedEBooks/{managedEBook-id}/installSummary
v1.0, Get-MgDeviceAppMgtManagedEBookUserStateSummary, /deviceAppManagement/managedEBooks/{managedEBook-id}/userStateSummary
v1.0, Get-MgDeviceAppMgtManagedEBookUserStateSummaryDeviceState, /deviceAppManagement/managedEBooks/{managedEBook-id}/userStateSummary/{userInstallStateSummary-id}/deviceStates
v1.0, Get-MgDeviceAppMgtMdmWindowInformationProtectionPolicy, /deviceAppManagement/mdmWindowsInformationProtectionPolicies
v1.0, Get-MgDeviceAppMgtMobileApp, /deviceAppManagement/mobileApps
v1.0, Get-MgDeviceAppMgtMobileAppAssignment, /deviceAppManagement/mobileApps/{mobileApp-id}/assignments
v1.0, Get-MgDeviceAppMgtMobileAppCategory, /deviceAppManagement/mobileAppCategories
v1.0, Get-MgDeviceAppMgtMobileAppConfiguration, /deviceAppManagement/mobileAppConfigurations
v1.0, Get-MgDeviceAppMgtMobileAppConfigurationAssignment, /deviceAppManagement/mobileAppConfigurations/{managedDeviceMobileAppConfiguration-id}/assignments
v1.0, Get-MgDeviceAppMgtMobileAppConfigurationDeviceStatuses, /deviceAppManagement/mobileAppConfigurations/{managedDeviceMobileAppConfiguration-id}/deviceStatuses
v1.0, Get-MgDeviceAppMgtMobileAppConfigurationDeviceStatusSummary, /deviceAppManagement/mobileAppConfigurations/{managedDeviceMobileAppConfiguration-id}/deviceStatusSummary
v1.0, Get-MgDeviceAppMgtMobileAppConfigurationUserStatuses, /deviceAppManagement/mobileAppConfigurations/{managedDeviceMobileAppConfiguration-id}/userStatuses
v1.0, Get-MgDeviceAppMgtMobileAppConfigurationUserStatusSummary, /deviceAppManagement/mobileAppConfigurations/{managedDeviceMobileAppConfiguration-id}/userStatusSummary
v1.0, Get-MgDeviceAppMgtTargetedManagedAppConfiguration, /deviceAppManagement/targetedManagedAppConfigurations
v1.0, Get-MgDeviceAppMgtTargetedManagedAppConfigurationApp, /deviceAppManagement/targetedManagedAppConfigurations/{targetedManagedAppConfiguration-id}/apps
v1.0, Get-MgDeviceAppMgtTargetedManagedAppConfigurationAssignment, /deviceAppManagement/targetedManagedAppConfigurations/{targetedManagedAppConfiguration-id}/assignments
v1.0, Get-MgDeviceAppMgtTargetedManagedAppConfigurationDeploymentSummary, /deviceAppManagement/targetedManagedAppConfigurations/{targetedManagedAppConfiguration-id}/deploymentSummary
v1.0, Get-MgDeviceAppMgtVppToken, /deviceAppManagement/vppTokens
v1.0, Get-MgDeviceAppMgtWindowInformationProtectionPolicy, /deviceAppManagement/windowsInformationProtectionPolicies
v1.0, Get-MgUserDeviceManagementTroubleshootingEvent, /users/{user-id}/deviceManagementTroubleshootingEvents
v1.0, Get-MgUserManagedAppRegistration, /users/{user-id}/managedAppRegistrations
v1.0, Get-MgUserManagedDevice, /users/{user-id}/managedDevices
v1.0, Get-MgUserManagedDeviceCategory, /users/{user-id}/managedDevices/{managedDevice-id}/deviceCategory
v1.0, Get-MgUserManagedDeviceCompliancePolicyState, /users/{user-id}/managedDevices/{managedDevice-id}/deviceCompliancePolicyStates
v1.0, Get-MgUserManagedDeviceConfigurationState, /users/{user-id}/managedDevices/{managedDevice-id}/deviceConfigurationStates
v1.0, Get-MgUserManagedDeviceUser, /users/{user-id}/managedDevices/{managedDevice-id}/users
