Graph profile, Command, UriPath
v1.0, Clear-MgDeviceManagementManagedDevice, /deviceManagement/managedDevices/{managedDevice-id}/wipe
v1.0, Disable-MgDeviceManagementManagedDeviceLostMode, /deviceManagement/managedDevices/{managedDevice-id}/disableLostMode
v1.0, Disconnect-MgDeviceManagementRemoteAssistancePartner, /deviceManagement/remoteAssistancePartners/{remoteAssistancePartner-id}/disconnect
v1.0, Find-MgDeviceManagementManagedDevice, /deviceManagement/managedDevices/{managedDevice-id}/locateDevice
v1.0, Get-MgDeviceManagementReportCachedReport, /deviceManagement/reports/getCachedReport
v1.0, Get-MgDeviceManagementReportCompliancePolicyNonComplianceReport, /deviceManagement/reports/getCompliancePolicyNonComplianceReport
v1.0, Get-MgDeviceManagementReportCompliancePolicyNonComplianceSummaryReport, /deviceManagement/reports/getCompliancePolicyNonComplianceSummaryReport
v1.0, Get-MgDeviceManagementReportComplianceSettingNonComplianceReport, /deviceManagement/reports/getComplianceSettingNonComplianceReport
v1.0, Get-MgDeviceManagementReportConfigurationPolicyNonComplianceReport, /deviceManagement/reports/getConfigurationPolicyNonComplianceReport
v1.0, Get-MgDeviceManagementReportConfigurationPolicyNonComplianceSummaryReport, /deviceManagement/reports/getConfigurationPolicyNonComplianceSummaryReport
v1.0, Get-MgDeviceManagementReportConfigurationSettingNonComplianceReport, /deviceManagement/reports/getConfigurationSettingNonComplianceReport
v1.0, Get-MgDeviceManagementReportDeviceManagementIntentPerSettingContributingProfile, /deviceManagement/reports/getDeviceManagementIntentPerSettingContributingProfiles
v1.0, Get-MgDeviceManagementReportDeviceManagementIntentSettingReport, /deviceManagement/reports/getDeviceManagementIntentSettingsReport
v1.0, Get-MgDeviceManagementReportDeviceNonComplianceReport, /deviceManagement/reports/getDeviceNonComplianceReport
v1.0, Get-MgDeviceManagementReportFilter, /deviceManagement/reports/getReportFilters
v1.0, Get-MgDeviceManagementReportHistoricalReport, /deviceManagement/reports/getHistoricalReport
