Graph profile, Command, UriPath
v1.0, Confirm-MgRiskyServicePrincipalCompromised, /identityProtection/riskyServicePrincipals/confirmCompromised
v1.0, Confirm-MgRiskyUserCompromised, /identityProtection/riskyUsers/confirmCompromised
v1.0, Get-MgDataPolicyOperation, /dataPolicyOperations
v1.0, Get-MgIdentityB2XUserFlowIdentityProviderByRef, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/userFlowIdentityProviders/$ref
v1.0, Get-MgIdentityB2XUserFlowLanguageDefaultPage, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/defaultPages
v1.0, Get-MgIdentityB2XUserFlowLanguageDefaultPageContent, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/defaultPages/{userFlowLanguagePage-id}/$value
v1.0, Get-MgIdentityB2XUserFlowUserAttributeAssignmentOrder, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/userAttributeAssignments/getOrder
v1.0, Get-MgIdentityB2XUserFlowUserAttributeAssignmentUserAttribute, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/userAttributeAssignments/{identityUserFlowAttributeAssignment-id}/userAttribute
v1.0, Get-MgInformationProtection, /informationProtection
v1.0, Get-MgInformationProtectionBitlocker, /informationProtection/bitlocker
v1.0, Get-MgInformationProtectionThreatAssessmentRequestResult, /informationProtection/threatAssessmentRequests/{threatAssessmentRequest-id}/results
v1.0, Get-MgOauth2PermissionGrantDelta, /oauth2PermissionGrants/delta
v1.0, Get-MgPolicyAppManagementPolicy, /policies/appManagementPolicies
v1.0, Get-MgPolicyAppManagementPolicyApplyTo, /policies/appManagementPolicies/{appManagementPolicy-id}/appliesTo
v1.0, Get-MgPolicyAuthenticationMethodPolicyAuthenticationMethodConfiguration, /policies/authenticationMethodsPolicy/authenticationMethodConfigurations
v1.0, Get-MgPolicyDefaultAppManagementPolicy, /policies/defaultAppManagementPolicy
v1.0, Get-MgPolicyFeatureRolloutPolicyApplyTo, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo
v1.0, Get-MgPolicyFeatureRolloutPolicyApplyToAvailableExtensionProperty, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/getAvailableExtensionProperties
v1.0, Get-MgPolicyFeatureRolloutPolicyApplyToById, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/getByIds
v1.0, Get-MgPolicyFeatureRolloutPolicyApplyToByRef, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/$ref
v1.0, Get-MgPolicyRoleManagementPolicyAssignmentPolicy, /policies/roleManagementPolicyAssignments/{unifiedRoleManagementPolicyAssignment-id}/policy
v1.0, Get-MgPolicyRoleManagementPolicyEffectiveRule, /policies/roleManagementPolicies/{unifiedRoleManagementPolicy-id}/effectiveRules
v1.0, Get-MgUserAuthenticationFido2Method, /users/{user-id}/authentication/fido2Methods
v1.0, Get-MgUserAuthenticationMicrosoftAuthenticatorMethodDevice, /users/{user-id}/authentication/microsoftAuthenticatorMethods/{microsoftAuthenticatorAuthenticationMethod-id}/device
v1.0, Get-MgUserAuthenticationOperation, /users/{user-id}/authentication/operations
v1.0, Get-MgUserAuthenticationWindowHelloForBusinessMethodDevice, /users/{user-id}/authentication/windowsHelloForBusinessMethods/{windowsHelloForBusinessAuthenticationMethod-id}/device
v1.0, Invoke-MgAvailableIdentityProviderType, /identity/identityProviders/availableProviderTypes
v1.0, Invoke-MgDismissRiskyServicePrincipal, /identityProtection/riskyServicePrincipals/dismiss
v1.0, Invoke-MgDismissRiskyUser, /identityProtection/riskyUsers/dismiss
v1.0, Invoke-MgUploadIdentityApiConnectorClientCertificate, /identity/apiConnectors/{identityApiConnector-id}/uploadClientCertificate
v1.0, New-MgDataPolicyOperation, /dataPolicyOperations
v1.0, New-MgIdentityB2XUserFlowIdentityProviderByRef, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/userFlowIdentityProviders/$ref
v1.0, New-MgIdentityB2XUserFlowLanguageDefaultPage, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/defaultPages
v1.0, New-MgInformationProtectionThreatAssessmentRequestResult, /informationProtection/threatAssessmentRequests/{threatAssessmentRequest-id}/results
v1.0, New-MgPolicyAppManagementPolicy, /policies/appManagementPolicies
v1.0, New-MgPolicyAuthenticationMethodPolicyAuthenticationMethodConfiguration, /policies/authenticationMethodsPolicy/authenticationMethodConfigurations
v1.0, New-MgPolicyFeatureRolloutPolicyApplyTo, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo
v1.0, New-MgPolicyFeatureRolloutPolicyApplyToByRef, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/$ref
v1.0, New-MgPolicyRoleManagementPolicyEffectiveRule, /policies/roleManagementPolicies/{unifiedRoleManagementPolicy-id}/effectiveRules
v1.0, New-MgUserAuthenticationOperation, /users/{user-id}/authentication/operations
v1.0, Remove-MgIdentityApiConnector, /identity/apiConnectors/{identityApiConnector-id}
v1.0, Remove-MgIdentityB2XUserFlow, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}
v1.0, Remove-MgIdentityB2XUserFlowIdentityProviderByRef, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/userFlowIdentityProviders/{identityProviderBase-id}/$ref
v1.0, Remove-MgIdentityB2XUserFlowLanguage, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}
v1.0, Remove-MgIdentityB2XUserFlowLanguageDefaultPage, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/defaultPages/{userFlowLanguagePage-id}
v1.0, Remove-MgIdentityB2XUserFlowLanguageOverridePage, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/languages/{userFlowLanguageConfiguration-id}/overridesPages/{userFlowLanguagePage-id}
v1.0, Remove-MgIdentityB2XUserFlowUserAttributeAssignment, /identity/b2xUserFlows/{b2xIdentityUserFlow-id}/userAttributeAssignments/{identityUserFlowAttributeAssignment-id}
v1.0, Remove-MgIdentityConditionalAccessAuthenticationContextClassReference, /identity/conditionalAccess/authenticationContextClassReferences/{authenticationContextClassReference-id}
v1.0, Remove-MgIdentityConditionalAccessNamedLocation, /identity/conditionalAccess/namedLocations/{namedLocation-id}
v1.0, Remove-MgIdentityConditionalAccessPolicy, /identity/conditionalAccess/policies/{conditionalAccessPolicy-id}
v1.0, Remove-MgIdentityProvider, /identity/identityProviders/{identityProviderBase-id}
v1.0, Remove-MgIdentityUserFlowAttribute, /identity/userFlowAttributes/{identityUserFlowAttribute-id}
v1.0, Remove-MgInformationProtectionThreatAssessmentRequest, /informationProtection/threatAssessmentRequests/{threatAssessmentRequest-id}
v1.0, Remove-MgInformationProtectionThreatAssessmentRequestResult, /informationProtection/threatAssessmentRequests/{threatAssessmentRequest-id}/results/{threatAssessmentResult-id}
v1.0, Remove-MgPolicyActivityBasedTimeoutPolicy, /policies/activityBasedTimeoutPolicies/{activityBasedTimeoutPolicy-id}
v1.0, Remove-MgPolicyAppManagementPolicy, /policies/appManagementPolicies/{appManagementPolicy-id}
v1.0, Remove-MgPolicyAuthenticationMethodPolicyAuthenticationMethodConfiguration, /policies/authenticationMethodsPolicy/authenticationMethodConfigurations/{authenticationMethodConfiguration-id}
v1.0, Remove-MgPolicyClaimMappingPolicy, /policies/claimsMappingPolicies/{claimsMappingPolicy-id}
v1.0, Remove-MgPolicyCrossTenantAccessPolicyPartner, /policies/crossTenantAccessPolicy/partners/{crossTenantAccessPolicyConfigurationPartner-tenantId}
v1.0, Remove-MgPolicyDefaultAppManagementPolicy, /policies/defaultAppManagementPolicy
v1.0, Remove-MgPolicyFeatureRolloutPolicy, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}
v1.0, Remove-MgPolicyFeatureRolloutPolicyApplyToByRef, /policies/featureRolloutPolicies/{featureRolloutPolicy-id}/appliesTo/{directoryObject-id}/$ref
v1.0, Remove-MgPolicyHomeRealmDiscoveryPolicy, /policies/homeRealmDiscoveryPolicies/{homeRealmDiscoveryPolicy-id}
v1.0, Remove-MgPolicyPermissionGrantPolicy, /policies/permissionGrantPolicies/{permissionGrantPolicy-id}
v1.0, Remove-MgPolicyPermissionGrantPolicyExclude, /policies/permissionGrantPolicies/{permissionGrantPolicy-id}/excludes/{permissionGrantConditionSet-id}
v1.0, Remove-MgPolicyPermissionGrantPolicyInclude, /policies/permissionGrantPolicies/{permissionGrantPolicy-id}/includes/{permissionGrantConditionSet-id}
v1.0, Remove-MgPolicyRoleManagementPolicy, /policies/roleManagementPolicies/{unifiedRoleManagementPolicy-id}
v1.0, Remove-MgPolicyRoleManagementPolicyAssignment, /policies/roleManagementPolicyAssignments/{unifiedRoleManagementPolicyAssignment-id}
v1.0, Remove-MgPolicyRoleManagementPolicyEffectiveRule, /policies/roleManagementPolicies/{unifiedRoleManagementPolicy-id}/effectiveRules/{unifiedRoleManagementPolicyRule-id}
v1.0, Remove-MgPolicyRoleManagementPolicyRule, /policies/roleManagementPolicies/{unifiedRoleManagementPolicy-id}/rules/{unifiedRoleManagementPolicyRule-id}
v1.0, Remove-MgPolicyTokenIssuancePolicy, /policies/tokenIssuancePolicies/{tokenIssuancePolicy-id}
v1.0, Remove-MgPolicyTokenLifetimePolicy, /policies/tokenLifetimePolicies/{tokenLifetimePolicy-id}
v1.0, Remove-MgRiskDetection, /identityProtection/riskDetections/{riskDetection-id}
v1.0, Remove-MgRiskyServicePrincipal, /identityProtection/riskyServicePrincipals/{riskyServicePrincipal-id}
v1.0, Remove-MgRiskyServicePrincipalHistory, /identityProtection/riskyServicePrincipals/{riskyServicePrincipal-id}/history/{riskyServicePrincipalHistoryItem-id}
v1.0, Remove-MgRiskyUser, /identityProtection/riskyUsers/{riskyUser-id}
v1.0, Remove-MgRiskyUserHistory, /identityProtection/riskyUsers/{riskyUser-id}/history/{riskyUserHistoryItem-id}
v1.0, Remove-MgServicePrincipalRiskDetection, /identityProtection/servicePrincipalRiskDetections/{servicePrincipalRiskDetection-id}
