Graph profile, Command, UriPath
v1.0, Get-MgCommunicationCall, /communications/calls/{call-id}
v1.0, Get-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups
v1.0, Get-MgCommunicationCallOperation, /communications/calls/{call-id}/operations
v1.0, Get-MgCommunicationCallRecord, /communications/callRecords/{callRecord-id}
v1.0, Get-MgCommunicationPresence, /communications/presences
v1.0, Invoke-MgAnswerCommunicationCall, /communications/calls/{call-id}/answer
v1.0, Invoke-MgCreateOrGetCommunicationOnlineMeeting, /communications/onlineMeetings/createOrGet
v1.0, Invoke-MgInviteCommunicationCallParticipant, /communications/calls/{call-id}/participants/invite
v1.0, Invoke-MgKeepCommunicationCallAlive, /communications/calls/{call-id}/keepAlive
v1.0, Invoke-MgLogCommunicationCallTeleconferenceDeviceQuality, /communications/calls/logTeleconferenceDeviceQuality
v1.0, Invoke-MgMuteCommunicationCall, /communications/calls/{call-id}/mute
v1.0, Invoke-MgMuteCommunicationCallParticipant, /communications/calls/{call-id}/participants/{participant-id}/mute
v1.0, Invoke-MgPlayCommunicationCallPrompt, /communications/calls/{call-id}/playPrompt
v1.0, Invoke-MgRecordCommunicationCallResponse, /communications/calls/{call-id}/recordResponse
v1.0, Invoke-MgRedirectCommunicationCall, /communications/calls/{call-id}/redirect
v1.0, Invoke-MgRejectCommunicationCall, /communications/calls/{call-id}/reject
v1.0, Invoke-MgSubscribeCommunicationCallToTone, /communications/calls/{call-id}/subscribeToTone
v1.0, Invoke-MgUnmuteCommunicationCall, /communications/calls/{call-id}/unmute
v1.0, Move-MgCommunicationCall, /communications/calls/{call-id}/transfer
v1.0, New-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups
v1.0, New-MgCommunicationCallOperation, /communications/calls/{call-id}/operations
v1.0, New-MgCommunicationPresence, /communications/presences
v1.0, Remove-MgCommunicationCall, /communications/calls/{call-id}
v1.0, Remove-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups/{audioRoutingGroup-id}
v1.0, Remove-MgCommunicationCallOperation, /communications/calls/{call-id}/operations/{commsOperation-id}
v1.0, Remove-MgCommunicationCallParticipant, /communications/calls/{call-id}/participants/{participant-id}
v1.0, Remove-MgCommunicationCallRecordSession, /communications/callRecords/{callRecord-id}/sessions/{session-id}
v1.0, Remove-MgCommunicationOnlineMeeting, /communications/onlineMeetings/{onlineMeeting-id}
v1.0, Remove-MgCommunicationPresence, /communications/presences/{presence-id}
v1.0, Remove-MgUserOnlineMeeting, /users/{user-id}/onlineMeetings/{onlineMeeting-id}
v1.0, Rename-MgCommunicationCallScreenSharingRole, /communications/calls/{call-id}/changeScreenSharingRole
v1.0, Stop-MgCommunicationCallMediaProcessing, /communications/calls/{call-id}/cancelMediaProcessing
v1.0, Update-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups/{audioRoutingGroup-id}
v1.0, Update-MgCommunicationCallOperation, /communications/calls/{call-id}/operations/{commsOperation-id}
v1.0, Update-MgCommunicationCallParticipant, /communications/calls/{call-id}/participants/{participant-id}
v1.0, Update-MgCommunicationCallRecordingStatus, /communications/calls/{call-id}/updateRecordingStatus
v1.0, Update-MgCommunicationCallRecordSession, /communications/callRecords/{callRecord-id}/sessions/{session-id}
v1.0, Update-MgCommunicationOnlineMeeting, /communications/onlineMeetings/{onlineMeeting-id}
v1.0, Update-MgCommunicationPresence, /communications/presences/{presence-id}
v1.0, Update-MgUserOnlineMeeting, /users/{user-id}/onlineMeetings/{onlineMeeting-id}
v1.0-beta, Get-MgCommunicationCall, /communications/calls/{call-id}
v1.0-beta, Get-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups
v1.0-beta, Get-MgCommunicationCallOperation, /communications/calls/{call-id}/operations
v1.0-beta, Get-MgCommunicationCallRecord, /communications/callRecords/{callRecord-id}
v1.0-beta, Get-MgCommunicationPresence, /communications/presences
v1.0-beta, Invoke-MgAnswerCommunicationCall, /communications/calls/{call-id}/answer
v1.0-beta, Invoke-MgCreateOrGetCommunicationOnlineMeeting, /communications/onlineMeetings/createOrGet
v1.0-beta, Invoke-MgInviteCommunicationCallParticipant, /communications/calls/{call-id}/participants/invite
v1.0-beta, Invoke-MgKeepCommunicationCallAlive, /communications/calls/{call-id}/keepAlive
v1.0-beta, Invoke-MgLogCommunicationCallTeleconferenceDeviceQuality, /communications/calls/logTeleconferenceDeviceQuality
v1.0-beta, Invoke-MgMuteAllCommunicationCallParticipant, /communications/calls/{call-id}/participants/muteAll
v1.0-beta, Invoke-MgMuteCommunicationCall, /communications/calls/{call-id}/mute
v1.0-beta, Invoke-MgMuteCommunicationCallParticipant, /communications/calls/{call-id}/participants/{participant-id}/mute
v1.0-beta, Invoke-MgPlayCommunicationCallPrompt, /communications/calls/{call-id}/playPrompt
v1.0-beta, Invoke-MgRecordCommunicationCall, /communications/calls/{call-id}/record
v1.0-beta, Invoke-MgRecordCommunicationCallResponse, /communications/calls/{call-id}/recordResponse
v1.0-beta, Invoke-MgRedirectCommunicationCall, /communications/calls/{call-id}/redirect
v1.0-beta, Invoke-MgRejectCommunicationCall, /communications/calls/{call-id}/reject
v1.0-beta, Invoke-MgSubscribeCommunicationCallToTone, /communications/calls/{call-id}/subscribeToTone
v1.0-beta, Invoke-MgUnmuteCommunicationCall, /communications/calls/{call-id}/unmute
v1.0-beta, Move-MgCommunicationCall, /communications/calls/{call-id}/transfer
v1.0-beta, New-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups
v1.0-beta, New-MgCommunicationCallOperation, /communications/calls/{call-id}/operations
v1.0-beta, New-MgCommunicationPresence, /communications/presences
v1.0-beta, Remove-MgCommunicationCall, /communications/calls/{call-id}
v1.0-beta, Remove-MgCommunicationCallAudioRoutingGroup, /communications/calls/{call-id}/audioRoutingGroups/{audioRoutingGroup-id}
v1.0-beta, Remove-MgCommunicationCallOperation, /communications/calls/{call-id}/operations/{commsOperation-id}
v1.0-beta, Remove-MgCommunicationCallParticipant, /communications/calls/{call-id}/participants/{participant-id}
v1.0-beta, Remove-MgCommunicationCallRecordSession, /communications/callRecords/{callRecord-id}/sessions/{session-id}
