Graph profile, Command, UriPath
v1.0, Add-MgSiteContentTypeCopy, /sites/{site-id}/contentTypes/addCopy
v1.0, Add-MgSiteContentTypeCopyFromContentTypeHub, /sites/{site-id}/contentTypes/addCopyFromContentTypeHub
v1.0, Add-MgSiteListContentTypeCopy, /sites/{site-id}/lists/{list-id}/contentTypes/addCopy
v1.0, Add-MgSiteListContentTypeCopyFromContentTypeHub, /sites/{site-id}/lists/{list-id}/contentTypes/addCopyFromContentTypeHub
v1.0, Copy-MgSiteContentTypeToDefaultContentLocation, /sites/{site-id}/contentTypes/{contentType-id}/copyToDefaultContentLocation
v1.0, Copy-MgSiteListContentTypeToDefaultContentLocation, /sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id}/copyToDefaultContentLocation
v1.0, Copy-MgSiteOnenoteNotebook, /sites/{site-id}/onenote/notebooks/{notebook-id}/copyNotebook
v1.0, Copy-MgSiteOnenotePageToSection, /sites/{site-id}/onenote/pages/{onenotePage-id}/copyToSection
v1.0, Copy-MgSiteOnenoteSectionToNotebook, /sites/{site-id}/onenote/sections/{onenoteSection-id}/copyToNotebook
v1.0, Copy-MgSiteOnenoteSectionToSectionGroup, /sites/{site-id}/onenote/sections/{onenoteSection-id}/copyToSectionGroup
v1.0, Get-MgGroupSite, /groups/{group-id}/sites
v1.0, Get-MgSiteActivityByInterval, /sites/{site-id}/getActivitiesByInterval
v1.0, Get-MgSiteAnalytic, /sites/{site-id}/analytics
v1.0, Get-MgSiteByPath, /sites/{site-id}/getByPath(path='{path}')
v1.0, Get-MgSiteContentTypeColumnLink, /sites/{site-id}/contentTypes/{contentType-id}/columnLinks
v1.0, Get-MgSiteContentTypeCompatibleHubContentType, /sites/{site-id}/contentTypes/getCompatibleHubContentTypes
v1.0, Get-MgSiteExternalColumn, /sites/{site-id}/externalColumns
v1.0, Get-MgSiteListContentTypeBase, /sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id}/base
v1.0, Get-MgSiteListContentTypeBaseType, /sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id}/baseTypes
v1.0, Get-MgSiteListContentTypeColumnLink, /sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id}/columnLinks
v1.0, Get-MgSiteListContentTypeColumnPosition, /sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id}/columnPositions
v1.0, Get-MgSiteListContentTypeCompatibleHubContentType, /sites/{site-id}/lists/{list-id}/contentTypes/getCompatibleHubContentTypes
v1.0, Get-MgSiteListDrive, /sites/{site-id}/lists/{list-id}/drive
v1.0, Get-MgSiteListItemActivityByInterval, /sites/{site-id}/lists/{list-id}/items/{listItem-id}/getActivitiesByInterval
v1.0, Get-MgSiteListItemAnalytic, /sites/{site-id}/lists/{list-id}/items/{listItem-id}/analytics
v1.0, Get-MgSiteListItemDriveItem, /sites/{site-id}/lists/{list-id}/items/{listItem-id}/driveItem
v1.0, Get-MgSiteListItemVersionField, /sites/{site-id}/lists/{list-id}/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Get-MgSiteListOperation, /sites/{site-id}/lists/{list-id}/operations
v1.0, Get-MgSiteListSubscription, /sites/{site-id}/lists/{list-id}/subscriptions
v1.0, Get-MgSiteOnenoteNotebookFromWebUrl, /sites/{site-id}/onenote/notebooks/getNotebookFromWebUrl
v1.0, Get-MgSiteRecentNotebook, /sites/{site-id}/onenote/notebooks/getRecentNotebooks(includePersonalNotebooks={includePersonalNotebooks})
v1.0, Get-MgSiteTermStore, /sites/{site-id}/termStores
v1.0, Get-MgSiteTermStoreGroupSetChildRelation, /sites/{site-id}/termStores/{store-id}/groups/{group-id}/sets/{set-id}/children/{term-id}/children/{term-id1}/relations
v1.0, Get-MgSiteTermStoreGroupSetChildRelationFromTerm, /sites/{site-id}/termStores/{store-id}/groups/{group-id}/sets/{set-id}/children/{term-id}/children/{term-id1}/relations/{relation-id}/fromTerm
v1.0, Get-MgSiteTermStoreGroupSetChildRelationSet, /sites/{site-id}/termStores/{store-id}/groups/{group-id}/sets/{set-id}/children/{term-id}/children/{term-id1}/relations/{relation-id}/set
