Graph profile, Command, UriPath
v1.0, Get-MgGroupPlanner, /groups/{group-id}/planner
v1.0, Get-MgPlanner, /planner
v1.0, Get-MgUserPlanner, /users/{user-id}/planner
v1.0, Remove-MgPlannerBucket, /planner/buckets/{plannerBucket-id}
v1.0, Remove-MgPlannerPlan, /planner/plans/{plannerPlan-id}
v1.0, Remove-MgPlannerTask, /planner/tasks/{plannerTask-id}
v1.0, Update-MgGroupPlanner, /groups/{group-id}/planner
v1.0, Update-MgPlanner, /planner
v1.0, Update-MgPlannerBucket, /planner/buckets/{plannerBucket-id}
v1.0, Update-MgPlannerPlan, /planner/plans/{plannerPlan-id}
v1.0, Update-MgPlannerTask, /planner/tasks/{plannerTask-id}
v1.0, Update-MgUserPlanner, /users/{user-id}/planner
v1.0-beta, Get-MgGroupPlanner, /groups/{group-id}/planner
v1.0-beta, Get-MgPlanner, /planner
v1.0-beta, Get-MgPlannerRoster, /planner/rosters/{plannerRoster-id}
v1.0-beta, Get-MgPlannerRosterMember, /planner/rosters/{plannerRoster-id}/members/{plannerRosterMember-id}
v1.0-beta, Get-MgPlannerRosterPlan, /planner/rosters/{plannerRoster-id}/plans/{plannerPlan-id}
v1.0-beta, Get-MgUserPlanner, /users/{user-id}/planner
v1.0-beta, Get-MgUserPlannerFavoritePlan, /users/{user-id}/planner/favoritePlans/{plannerPlan-id}
v1.0-beta, Get-MgUserPlannerRecentPlan, /users/{user-id}/planner/recentPlans/{plannerPlan-id}
v1.0-beta, Get-MgUserPlannerRosterPlan, /users/{user-id}/planner/rosterPlans/{plannerPlan-id}
v1.0-beta, New-MgPlannerRoster, /planner/rosters
v1.0-beta, New-MgPlannerRosterMember, /planner/rosters/{plannerRoster-id}/members
v1.0-beta, Remove-MgPlannerBucket, /planner/buckets/{plannerBucket-id}
v1.0-beta, Remove-MgPlannerPlan, /planner/plans/{plannerPlan-id}
v1.0-beta, Remove-MgPlannerRoster, /planner/rosters/{plannerRoster-id}
v1.0-beta, Remove-MgPlannerRosterMember, /planner/rosters/{plannerRoster-id}/members/{plannerRosterMember-id}
v1.0-beta, Remove-MgPlannerTask, /planner/tasks/{plannerTask-id}
v1.0-beta, Update-MgGroupPlanner, /groups/{group-id}/planner
v1.0-beta, Update-MgPlanner, /planner
v1.0-beta, Update-MgPlannerBucket, /planner/buckets/{plannerBucket-id}
v1.0-beta, Update-MgPlannerPlan, /planner/plans/{plannerPlan-id}
v1.0-beta, Update-MgPlannerRoster, /planner/rosters/{plannerRoster-id}
v1.0-beta, Update-MgPlannerRosterMember, /planner/rosters/{plannerRoster-id}/members/{plannerRosterMember-id}
v1.0-beta, Update-MgPlannerTask, /planner/tasks/{plannerTask-id}
v1.0-beta, Update-MgUserPlanner, /users/{user-id}/planner
v1.0, Get-MgGroupPlannerPlan, /groups/{group-id}/planner/plans
v1.0, Get-MgGroupPlannerPlanBucket, /groups/{group-id}/planner/plans/{plannerPlan-id}/buckets
v1.0, Get-MgGroupPlannerPlanDetail, /groups/{group-id}/planner/plans/{plannerPlan-id}/details
