Graph profile, Command, UriPath
v1.0, Get-MgDrive, /drives
v1.0, Get-MgDriveItem, /drives/{drive-id}/items
v1.0, Get-MgDriveList, /drives/{drive-id}/list
v1.0, Get-MgDriveListContentTypeColumnLink, /drives/{drive-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0, Get-MgDriveListDrive, /drives/{drive-id}/list/drive
v1.0, Get-MgDriveListItemAnalytic, /drives/{drive-id}/list/items/{listItem-id}/analytics
v1.0, Get-MgDriveListItemDriveItem, /drives/{drive-id}/list/items/{listItem-id}/driveItem
v1.0, Get-MgDriveListItemVersionField, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Get-MgDriveListSubscription, /drives/{drive-id}/list/subscriptions
v1.0, Get-MgDriveSpecial, /drives/{drive-id}/special
v1.0, Get-MgShareItem, /shares/{sharedDriveItem-id}/items
v1.0, Get-MgShareList, /shares/{sharedDriveItem-id}/list
v1.0, Get-MgShareListContentTypeColumnLink, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0, Get-MgShareListDrive, /shares/{sharedDriveItem-id}/list/drive
v1.0, Get-MgShareListItemAnalytic, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/analytics
v1.0, Get-MgShareListItemDriveItem, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/driveItem
v1.0, Get-MgShareListItemVersionField, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Get-MgShareListSubscription, /shares/{sharedDriveItem-id}/list/subscriptions
v1.0, Get-MgSharePermission, /shares/{sharedDriveItem-id}/permission
v1.0, Get-MgShareRoot, /shares/{sharedDriveItem-id}/root
v1.0, Get-MgShareSharedDriveItemSharedDriveItem, /shares
v1.0, Get-MgShareSite, /shares/{sharedDriveItem-id}/site
v1.0, Grant-MgSharePermission, /shares/{sharedDriveItem-id}/permission/grant
v1.0, Invoke-MgRecentDrive, /drives/{drive-id}/recent
v1.0, New-MgDrive, /drives
v1.0, New-MgDriveItem, /drives/{drive-id}/items
v1.0, New-MgDriveListContentTypeColumnLink, /drives/{drive-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0, New-MgDriveListSubscription, /drives/{drive-id}/list/subscriptions
v1.0, New-MgShareListContentTypeColumnLink, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0, New-MgShareListSubscription, /shares/{sharedDriveItem-id}/list/subscriptions
v1.0, New-MgShareSharedDriveItemSharedDriveItem, /shares
v1.0, Remove-MgDriveItem, /drives/{drive-id}/items/{driveItem-id}
v1.0, Remove-MgDriveList, /drives/{drive-id}/list
v1.0, Remove-MgDriveListColumn, /drives/{drive-id}/list/columns/{columnDefinition-id}
v1.0, Remove-MgDriveListContentType, /drives/{drive-id}/list/contentTypes/{contentType-id}
v1.0, Remove-MgDriveListContentTypeColumn, /drives/{drive-id}/list/contentTypes/{contentType-id}/columns/{columnDefinition-id}
v1.0, Remove-MgDriveListContentTypeColumnLink, /drives/{drive-id}/list/contentTypes/{contentType-id}/columnLinks/{columnLink-id}
v1.0, Remove-MgDriveListItem, /drives/{drive-id}/list/items/{listItem-id}
v1.0, Remove-MgDriveListItemVersion, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}
v1.0, Remove-MgDriveListItemVersionField, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Remove-MgDriveListSubscription, /drives/{drive-id}/list/subscriptions/{subscription-id}
v1.0, Remove-MgGroupDrive, /groups/{group-id}/drives/{drive-id}
v1.0, Remove-MgShareList, /shares/{sharedDriveItem-id}/list
v1.0, Remove-MgShareListColumn, /shares/{sharedDriveItem-id}/list/columns/{columnDefinition-id}
v1.0, Remove-MgShareListContentType, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}
v1.0, Remove-MgShareListContentTypeColumn, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columns/{columnDefinition-id}
v1.0, Remove-MgShareListContentTypeColumnLink, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columnLinks/{columnLink-id}
v1.0, Remove-MgShareListItem, /shares/{sharedDriveItem-id}/list/items/{listItem-id}
v1.0, Remove-MgShareListItemVersion, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}
v1.0, Remove-MgShareListItemVersionField, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Remove-MgShareListSubscription, /shares/{sharedDriveItem-id}/list/subscriptions/{subscription-id}
v1.0, Remove-MgSharePermission, /shares/{sharedDriveItem-id}/permission
v1.0, Remove-MgUserDrive, /users/{user-id}/drives/{drive-id}
v1.0, Restore-MgDriveListItemVersion, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/restoreVersion
v1.0, Restore-MgShareListItemVersion, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/restoreVersion
v1.0, Search-MgDrive, /drives/{drive-id}/search(q='{q}')
v1.0, Update-MgDriveItem, /drives/{drive-id}/items/{driveItem-id}
v1.0, Update-MgDriveList, /drives/{drive-id}/list
v1.0, Update-MgDriveListColumn, /drives/{drive-id}/list/columns/{columnDefinition-id}
v1.0, Update-MgDriveListContentType, /drives/{drive-id}/list/contentTypes/{contentType-id}
v1.0, Update-MgDriveListContentTypeColumn, /drives/{drive-id}/list/contentTypes/{contentType-id}/columns/{columnDefinition-id}
v1.0, Update-MgDriveListContentTypeColumnLink, /drives/{drive-id}/list/contentTypes/{contentType-id}/columnLinks/{columnLink-id}
v1.0, Update-MgDriveListItem, /drives/{drive-id}/list/items/{listItem-id}
v1.0, Update-MgDriveListItemVersion, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}
v1.0, Update-MgDriveListItemVersionField, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Update-MgDriveListSubscription, /drives/{drive-id}/list/subscriptions/{subscription-id}
v1.0, Update-MgGroupDrive, /groups/{group-id}/drives/{drive-id}
v1.0, Update-MgShareList, /shares/{sharedDriveItem-id}/list
v1.0, Update-MgShareListColumn, /shares/{sharedDriveItem-id}/list/columns/{columnDefinition-id}
v1.0, Update-MgShareListContentType, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}
v1.0, Update-MgShareListContentTypeColumn, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columns/{columnDefinition-id}
v1.0, Update-MgShareListContentTypeColumnLink, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columnLinks/{columnLink-id}
v1.0, Update-MgShareListItem, /shares/{sharedDriveItem-id}/list/items/{listItem-id}
v1.0, Update-MgShareListItemVersion, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}
v1.0, Update-MgShareListItemVersionField, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0, Update-MgShareListSubscription, /shares/{sharedDriveItem-id}/list/subscriptions/{subscription-id}
v1.0, Update-MgSharePermission, /shares/{sharedDriveItem-id}/permission
v1.0, Update-MgUserDrive, /users/{user-id}/drives/{drive-id}
v1.0-beta, Get-MgDrive, /drives
v1.0-beta, Get-MgDriveActivity, /drives/{drive-id}/activities
v1.0-beta, Get-MgDriveItem, /drives/{drive-id}/items
v1.0-beta, Get-MgDriveList, /drives/{drive-id}/list
v1.0-beta, Get-MgDriveListActivity, /drives/{drive-id}/list/activities
v1.0-beta, Get-MgDriveListContentTypeColumnLink, /drives/{drive-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0-beta, Get-MgDriveListDrive, /drives/{drive-id}/list/drive
v1.0-beta, Get-MgDriveListItemActivity, /drives/{drive-id}/list/items/{listItem-id}/activities
v1.0-beta, Get-MgDriveListItemAnalytic, /drives/{drive-id}/list/items/{listItem-id}/analytics
v1.0-beta, Get-MgDriveListItemDriveItem, /drives/{drive-id}/list/items/{listItem-id}/driveItem
v1.0-beta, Get-MgDriveListItemVersionField, /drives/{drive-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0-beta, Get-MgDriveListSubscription, /drives/{drive-id}/list/subscriptions
v1.0-beta, Get-MgDriveSpecial, /drives/{drive-id}/special
v1.0-beta, Get-MgShareItem, /shares/{sharedDriveItem-id}/items
v1.0-beta, Get-MgShareList, /shares/{sharedDriveItem-id}/list
v1.0-beta, Get-MgShareListActivity, /shares/{sharedDriveItem-id}/list/activities
v1.0-beta, Get-MgShareListContentTypeColumnLink, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0-beta, Get-MgShareListDrive, /shares/{sharedDriveItem-id}/list/drive
v1.0-beta, Get-MgShareListItemActivity, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/activities
v1.0-beta, Get-MgShareListItemAnalytic, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/analytics
v1.0-beta, Get-MgShareListItemDriveItem, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/driveItem
v1.0-beta, Get-MgShareListItemVersionField, /shares/{sharedDriveItem-id}/list/items/{listItem-id}/versions/{listItemVersion-id}/fields
v1.0-beta, Get-MgShareListSubscription, /shares/{sharedDriveItem-id}/list/subscriptions
v1.0-beta, Get-MgSharePermission, /shares/{sharedDriveItem-id}/permission
v1.0-beta, Get-MgShareRoot, /shares/{sharedDriveItem-id}/root
v1.0-beta, Get-MgShareSharedDriveItemSharedDriveItem, /shares
v1.0-beta, Get-MgShareSite, /shares/{sharedDriveItem-id}/site
v1.0-beta, Grant-MgSharePermission, /shares/{sharedDriveItem-id}/permission/grant
v1.0-beta, Invoke-MgRecentDrive, /drives/{drive-id}/recent
v1.0-beta, New-MgDrive, /drives
v1.0-beta, New-MgDriveItem, /drives/{drive-id}/items
v1.0-beta, New-MgDriveListContentTypeColumnLink, /drives/{drive-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0-beta, New-MgDriveListSubscription, /drives/{drive-id}/list/subscriptions
v1.0-beta, New-MgShareListContentTypeColumnLink, /shares/{sharedDriveItem-id}/list/contentTypes/{contentType-id}/columnLinks
v1.0-beta, New-MgShareListSubscription, /shares/{sharedDriveItem-id}/list/subscriptions
