Graph profile, Command, UriPath
v1.0, Remove-MgSecuritySecureScore, /security/secureScores/{secureScore-id}
v1.0, Remove-MgSecuritySecureScoreControlProfile, /security/secureScoreControlProfiles/{secureScoreControlProfile-id}
v1.0, Update-MgSecurityAlert, /security/alerts/{alert-id}
v1.0, Update-MgSecuritySecureScore, /security/secureScores/{secureScore-id}
v1.0, Update-MgSecuritySecureScoreControlProfile, /security/secureScoreControlProfiles/{secureScoreControlProfile-id}
v1.0-beta, Get-MgSecurityAction, /security/securityActions/{securityAction-id}
v1.0-beta, Get-MgSecurityCloudAppSecurityProfile, /security/cloudAppSecurityProfiles/{cloudAppSecurityProfile-id}
v1.0-beta, Get-MgSecurityDomainSecurityProfile, /security/domainSecurityProfiles/{domainSecurityProfile-id}
v1.0-beta, Get-MgSecurityFileSecurityProfile, /security/fileSecurityProfiles/{fileSecurityProfile-id}
v1.0-beta, Get-MgSecurityHostSecurityProfile, /security/hostSecurityProfiles/{hostSecurityProfile-id}
v1.0-beta, Get-MgSecurityIPSecurityProfile, /security/ipSecurityProfiles/{ipSecurityProfile-id}
v1.0-beta, Get-MgSecurityProviderTenantSetting, /security/providerTenantSettings/{providerTenantSetting-id}
v1.0-beta, Get-MgSecurityTiIndicator, /security/tiIndicators/{tiIndicator-id}
v1.0-beta, Get-MgSecurityUserSecurityProfile, /security/userSecurityProfiles/{userSecurityProfile-id}
v1.0-beta, New-MgSecurityAction, /security/securityActions
v1.0-beta, New-MgSecurityCloudAppSecurityProfile, /security/cloudAppSecurityProfiles
v1.0-beta, New-MgSecurityDomainSecurityProfile, /security/domainSecurityProfiles
v1.0-beta, New-MgSecurityFileSecurityProfile, /security/fileSecurityProfiles
v1.0-beta, New-MgSecurityHostSecurityProfile, /security/hostSecurityProfiles
v1.0-beta, New-MgSecurityIPSecurityProfile, /security/ipSecurityProfiles
v1.0-beta, New-MgSecurityProviderTenantSetting, /security/providerTenantSettings
v1.0-beta, New-MgSecurityTiIndicator, /security/tiIndicators
v1.0-beta, New-MgSecurityUserSecurityProfile, /security/userSecurityProfiles
v1.0-beta, Remove-MgSecurityAction, /security/securityActions/{securityAction-id}
v1.0-beta, Remove-MgSecurityCloudAppSecurityProfile, /security/cloudAppSecurityProfiles/{cloudAppSecurityProfile-id}
v1.0-beta, Remove-MgSecurityDomainSecurityProfile, /security/domainSecurityProfiles/{domainSecurityProfile-id}
v1.0-beta, Remove-MgSecurityFileSecurityProfile, /security/fileSecurityProfiles/{fileSecurityProfile-id}
v1.0-beta, Remove-MgSecurityHostSecurityProfile, /security/hostSecurityProfiles/{hostSecurityProfile-id}
v1.0-beta, Remove-MgSecurityIPSecurityProfile, /security/ipSecurityProfiles/{ipSecurityProfile-id}
v1.0-beta, Remove-MgSecurityProviderTenantSetting, /security/providerTenantSettings/{providerTenantSetting-id}
v1.0-beta, Remove-MgSecuritySecureScore, /security/secureScores/{secureScore-id}
v1.0-beta, Remove-MgSecuritySecureScoreControlProfile, /security/secureScoreControlProfiles/{secureScoreControlProfile-id}
v1.0-beta, Remove-MgSecurityTiIndicator, /security/tiIndicators/{tiIndicator-id}
v1.0-beta, Remove-MgSecurityTiIndicatorByExternalId, /security/tiIndicators/deleteTiIndicatorsByExternalId
v1.0-beta, Remove-MgSecurityTiIndicatorMultiple, /security/tiIndicators/deleteTiIndicators
v1.0-beta, Remove-MgSecurityUserSecurityProfile, /security/userSecurityProfiles/{userSecurityProfile-id}
v1.0-beta, Stop-MgSecurityAction, /security/securityActions/{securityAction-id}/cancelSecurityAction
v1.0-beta, Submit-MgSecurityTiIndicator, /security/tiIndicators/submitTiIndicators
v1.0-beta, Update-MgSecurityAction, /security/securityActions/{securityAction-id}
v1.0-beta, Update-MgSecurityAlert, /security/alerts/{alert-id}
v1.0-beta, Update-MgSecurityAlertMultiple, /security/alerts/updateAlerts
v1.0-beta, Update-MgSecurityCloudAppSecurityProfile, /security/cloudAppSecurityProfiles/{cloudAppSecurityProfile-id}
v1.0-beta, Update-MgSecurityDomainSecurityProfile, /security/domainSecurityProfiles/{domainSecurityProfile-id}
v1.0-beta, Update-MgSecurityFileSecurityProfile, /security/fileSecurityProfiles/{fileSecurityProfile-id}
v1.0-beta, Update-MgSecurityHostSecurityProfile, /security/hostSecurityProfiles/{hostSecurityProfile-id}
v1.0-beta, Update-MgSecurityIPSecurityProfile, /security/ipSecurityProfiles/{ipSecurityProfile-id}
v1.0-beta, Update-MgSecurityProviderTenantSetting, /security/providerTenantSettings/{providerTenantSetting-id}
v1.0-beta, Update-MgSecuritySecureScore, /security/secureScores/{secureScore-id}
v1.0-beta, Update-MgSecuritySecureScoreControlProfile, /security/secureScoreControlProfiles/{secureScoreControlProfile-id}
v1.0-beta, Update-MgSecurityTiIndicator, /security/tiIndicators/{tiIndicator-id}
v1.0-beta, Update-MgSecurityTiIndicatorMultiple, /security/tiIndicators/updateTiIndicators
v1.0-beta, Update-MgSecurityUserSecurityProfile, /security/userSecurityProfiles/{userSecurityProfile-id}
v1.0, Add-MgSecurityCaseEdiscoveryCaseCustodianHold, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/applyHold
v1.0, Add-MgSecurityCaseEdiscoveryCaseNoncustodialDataSourceHold, /security/cases/ediscoveryCases/{ediscoveryCase-id}/noncustodialDataSources/{ediscoveryNoncustodialDataSource-id}/applyHold
v1.0, Add-MgSecurityCaseEdiscoveryCaseReviewSetQueryTag, /security/cases/ediscoveryCases/{ediscoveryCase-id}/reviewSets/{ediscoveryReviewSet-id}/queries/{ediscoveryReviewSetQuery-id}/applyTags
v1.0, Add-MgSecurityCaseEdiscoveryCaseReviewSetToReviewSet, /security/cases/ediscoveryCases/{ediscoveryCase-id}/reviewSets/{ediscoveryReviewSet-id}/addToReviewSet
v1.0, Clear-MgSecurityCaseEdiscoveryCaseSearchData, /security/cases/ediscoveryCases/{ediscoveryCase-id}/searches/{ediscoverySearch-id}/purgeData
v1.0, Close-MgSecurityCaseEdiscoveryCase, /security/cases/ediscoveryCases/{ediscoveryCase-id}/close
v1.0, Get-MgSecurityAlertCount, /security/alerts/$count
v1.0, Get-MgSecurityAlertV2Count, /security/alerts_v2/$count
v1.0, Get-MgSecurityAttackSimulationAutomationCount, /security/attackSimulation/simulationAutomations/$count
v1.0, Get-MgSecurityAttackSimulationAutomationRun, /security/attackSimulation/simulationAutomations/{simulationAutomation-id}/runs/{simulationAutomationRun-id}
v1.0, Get-MgSecurityAttackSimulationAutomationRunCount, /security/attackSimulation/simulationAutomations/{simulationAutomation-id}/runs/$count
v1.0, Get-MgSecurityAttackSimulationCount, /security/attackSimulation/simulations/$count
v1.0, Get-MgSecurityCase, /security/cases
v1.0, Get-MgSecurityCaseEdiscoveryCaseCount, /security/cases/ediscoveryCases/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianSiteSource, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/siteSources/{siteSource-id}
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianSiteSourceCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/siteSources/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianSiteSourceSite, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/siteSources/{siteSource-id}/site
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianUnifiedGroupSource, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/unifiedGroupSources/{unifiedGroupSource-id}
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianUnifiedGroupSourceCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/unifiedGroupSources/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianUnifiedGroupSourceGroup, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/unifiedGroupSources/{unifiedGroupSource-id}/group
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianUserSource, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/userSources/{userSource-id}
v1.0, Get-MgSecurityCaseEdiscoveryCaseCustodianUserSourceCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/custodians/{ediscoveryCustodian-id}/userSources/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseNoncustodialDataSource, /security/cases/ediscoveryCases/{ediscoveryCase-id}/noncustodialDataSources/{ediscoveryNoncustodialDataSource-id}
v1.0, Get-MgSecurityCaseEdiscoveryCaseNoncustodialDataSourceCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/noncustodialDataSources/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseNoncustodialDataSourceLastIndexOperation, /security/cases/ediscoveryCases/{ediscoveryCase-id}/noncustodialDataSources/{ediscoveryNoncustodialDataSource-id}/lastIndexOperation
v1.0, Get-MgSecurityCaseEdiscoveryCaseOperationCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/operations/$count
v1.0, Get-MgSecurityCaseEdiscoveryCaseReviewSetCount, /security/cases/ediscoveryCases/{ediscoveryCase-id}/reviewSets/$count
